Structure Image,INN Record,Substance Name,Proposed PDF,Proposed List,Recommended PDF,Recommended List
,https://mednet-communities.net/inn/db/ViewINN.aspx?i=0,,https://mednet-communities.net/inn/db/media/docs/p-innlist14.pdf,14,https://mednet-communities.net/inn/db/media/docs/r-innlist6.pdf,6
https://mednet-communities.net/inn/db/media/chemdraw/0001.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=1,hydralazine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0002.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=2,metharbital,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0003.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=3,iopanoic acid,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0004.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=4,phenylbutazone,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0005.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=5,aceturate,https://mednet-communities.net/inn/db/media/docs/p-innlist22.pdf,22
https://mednet-communities.net/inn/db/media/chemdraw/0006.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=6,talbutal,https://mednet-communities.net/inn/db/media/docs/p-innlist17.pdf,17,https://mednet-communities.net/inn/db/media/docs/r-innlist22.pdf,22
https://mednet-communities.net/inn/db/media/chemdraw/0007.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=7,butalbital,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist9.pdf,9
https://mednet-communities.net/inn/db/media/chemdraw/0008.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=8,brallobarbital,https://mednet-communities.net/inn/db/media/docs/p-innlist41.pdf,41,https://mednet-communities.net/inn/db/media/docs/r-innlist19.pdf,19
https://mednet-communities.net/inn/db/media/chemdraw/0010.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=10,heptabarb,https://mednet-communities.net/inn/db/media/docs/p-innlist14.pdf,14,https://mednet-communities.net/inn/db/media/docs/r-innlist6.pdf,6
https://mednet-communities.net/inn/db/media/chemdraw/0014.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=14,thialbarbital,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0015.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=15,paroxypropione,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0016.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=16,glycobiarsol,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist23.pdf,23
https://mednet-communities.net/inn/db/media/chemdraw/0017.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=17,camphotamide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0018.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=18,parethoxycaine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0019.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=19,iproniazid,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0020.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=20,oxyphenonium bromide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0021.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=21,piridocaine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0022.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=22,phentolamine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0023.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=23,phenindione,https://mednet-communities.net/inn/db/media/docs/p-innlist41.pdf,41,https://mednet-communities.net/inn/db/media/docs/r-innlist19.pdf,19
https://mednet-communities.net/inn/db/media/chemdraw/0024.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=24,azamethonium bromide,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0025.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=25,hydroxyprocaine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0026.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=26,suxamethonium chloride,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0027.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=27,suxethonium chloride,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0028.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=28,racemorphan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0029.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=29,racemethorphan,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0030.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=30,nalorphine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0031.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=31,hydroxytetracaine,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0033.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=33,norepinephrine,https://mednet-communities.net/inn/db/media/docs/p-innlist45.pdf,45,https://mednet-communities.net/inn/db/media/docs/r-innlist23.pdf,23
https://mednet-communities.net/inn/db/media/chemdraw/0034.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=34,metaraminol,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0035.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=35,methallenestril,https://mednet-communities.net/inn/db/media/docs/p-innlist6.pdf,6,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
https://mednet-communities.net/inn/db/media/chemdraw/0037.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=37,thiacetarsamide sodium,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist1.pdf,1
https://mednet-communities.net/inn/db/media/chemdraw/0038.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=38,hydrocortisone,https://mednet-communities.net/inn/db/media/docs/p-innlist1.pdf,1,https://mednet-communities.net/inn/db/media/docs/r-innlist6.pdf,6
https://mednet-communities.net/inn/db/media/chemdraw/0039.bmp,https://mednet-communities.net/inn/db/ViewINN.aspx?i=39,erythromycin,https://mednet-communities.net/inn/db/media/docs/p-innlist4.pdf,4,https://mednet-communities.net/inn/db/media/docs/r-innlist3.pdf,3
