UNII	Approval_Year	Date	Date_Method	App_Type	App_No	Sponsor	Product	Url	active	Comment
6MTE8G7YLD	1960	12/31/1960	DeHaen 1940-1975 NMEs			Crookes-Barnes (Cooper)	Pellar		false	Pellar (1960) Crookes-Barnes (Cooper)
JU58VJ6Y3B	1939	10/02/1939	Drugs@FDA	NDA	001546	MERCK SHARP DOHME	GUANIDINE HYDROCHLORIDE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=001546	true	001546/001
D8L75GM22O	1991	06/10/1991	Drugs@FDA	NDA	019981	CURIUM	ULTRATAG	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019981	true	019981/001
R9400W927I	1981	06/12/1981	Drugs@FDA	NDA	018533	JANSSEN PHARMS	NIZORAL	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018533	true	018533/001
G70B4ETF4S	2003	07/02/2003	Drugs@FDA	NDA	021500	GILEAD	EMTRIVA	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021500	true	021500/001
C1O32IJ4HS	1959	12/31/1959	DeHaen 1940-1975 NMEs			Wyeth	Ostensin		false	Ostensin (1959) Wyeth
7HU6337315	1988	12/29/1988	OB NME Appendix 1950-1993	NDA	019402	Janssen	Hismanal		false	019402 Hismanal (1988) Janssen
64FTA4579H	1960	12/31/1960	DeHaen 1940-1975 NMEs			Schering	Diloderm		false	Diloderm (1960) Schering
53PF01Q249	1967	02/08/1967	Drugs@FDA	NDA	016099	WYETH AYERST	ATROMID-S	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016099	true	016099/002
362O9ITL9D	1950	12/31/1950	Drugs@FDA	NDA	016401	POLYMEDICA	NEOPAP	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016401	true	016401/001
WS821Z52LQ	1964	08/10/1964	Drugs@FDA	NDA	013174	CONCORDIA PHARMS INC	DYRENIUM	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=013174	true	013174/002
5ZBS38PFRD	1951	12/31/1951	DeHaen 1940-1975 NMEs			Lilly	Thiocarbarsone		false	Thiocarbarsone (1951) Lilly
EA6LD1M70M	1971	08/18/1971	Drugs@FDA	NDA	016979	BRISTOL MYERS SQUIBB	MEGACE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016979	true	016979/002
1AQ60H5GT2	1953	04/22/1953	OB NME Appendix 1950-1985	NDA	008869	LILLY	DICURIN PROCAINE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008869	true	008869/001
EH28UP18IF	1982	05/07/1982	Drugs@FDA	NDA	018662	HOFFMANN LA ROCHE	ACCUTANE	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018662	true	018662/004
