UNII	Approval	Year	Unknown	Comment	Date	Date Method
YG57I8T5M0	Approval Year	2014		Application:NDA206545 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206545	7/23/2014	DRUGS@FDA SUBMISSION
FF28EJQ494	Approval Year	1951		Application:NDA007935 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007935	3/29/1951	DRUGS@FDA SUBMISSION
O5CB12L4FN	Approval Year	1973		Application:NDA016996 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016996	1/22/1973	DRUGS@FDA SUBMISSION
Q6W1F7DJ2D	Approval Year	1956		Application:NDA010686 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010686	10/31/1956	DRUGS@FDA SUBMISSION
4GC1FOQ22U	Approval Year	1957		Application:NDA010929 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010929	5/2/1957	DRUGS@FDA SUBMISSION
1ZK20VI6TY	Approval Year	1957		Application:NDA011161 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011161	12/3/1957	DRUGS@FDA SUBMISSION
DL2R53P963	Approval Year	1970		Application:NDA050108 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050108	6/4/1970	DRUGS@FDA SUBMISSION
Q0MQD1073Q	Approval Year	1960		Application:NDA012283 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012283	4/7/1960	DRUGS@FDA SUBMISSION
K9P6MC7092	Approval Year	1975		Application:NDA017577 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017577	7/16/1975	DRUGS@FDA SUBMISSION
36780APV5N	Approval Year	1961		Application:NDA012845 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012845	9/26/1961	DRUGS@FDA SUBMISSION
CD35PMG570	Approval Year	1950		Application:NDA007337 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=007337	4/12/1950	DRUGS@FDA SUBMISSION
HD2D469W6U	Approval Year	1970		Application:NDA050219 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050219	6/12/1970	DRUGS@FDA SUBMISSION
7C0697DR9I	Approval Year	1960		Application:NDA012462 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012462	9/15/1960	DRUGS@FDA SUBMISSION
HSU1C9YRES	Approval Year	1959		Application:NDA011839 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011839	6/18/1959	DRUGS@FDA SUBMISSION
S79426A41Z	Approval Year	1959		Application:NDA012034 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012034	9/9/1959	DRUGS@FDA SUBMISSION
AL805O9OG9	Approval Year	1957		Application:NDA010653 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010653	5/10/1957	DRUGS@FDA SUBMISSION
GW89581OWR	Approval Year	1946		Application:NDA006012 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006012	8/13/1946	DRUGS@FDA SUBMISSION
N27ADP50ER	Approval Year	1957		Application:NDA010927 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010927	5/2/1957	DRUGS@FDA SUBMISSION
N863NB338G	Approval Year	1976		Application:ANDA084535 https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=084535	9/2/1976	DRUGS@FDA SUBMISSION
