smiles	drug_id	name	unii
[Cl-].[H][N+](C)(C)CC1=CC=CC=C1	4788870	ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE	7OLC3T9928
[Cl-].CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	4819695	BENZALKONIUM CHLORIDE	F5UM2KM3W7
[Na+].CC[Hg]SC1=CC=CC=C1C([O-])=O	4851329	THIMEROSAL	2225PI3MOV
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@]([H])(O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C	4897956	Sq-23263|Isoflupredone acetate	55P9TUL75S
[Na+].[Na+].O[Hg]C1=C([O-])C(Br)=CC2=C1OC3=CC(=O)C(Br)=CC3=C2C4=CC=CC=C4C([O-])=O	4927968	MERBROMIN	M0T18YH28D
[Na+].[Na+].O[Hg]C1=C2OC3=CC([O-])=C(Br)C=C3C4(OC(=O)C5=CC=CC=C45)C2=CC(Br)=C1[O-]	4981540	Mercurochrome|Merbromina|Merbromin|Merbromine|Mercury, (2',7'-dibromo-3',6'-dihydroxy-3-oxospiro(isobenzofuran-1(3h),9'-(9h)xanthen)-4'-yl)hydroxy-, disodium salt|Merbrominum|Merbromin (mercurochrome)	M0T18YH28D
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C[C@]35C)C#N)[C@@H]1CC[C@@H]2O	5045767	TRILOSTANE	L0FPV48Q5R
NC1=C2C=CC=CC2=NC3=C1C=CC=C3	7231321	AMINACRINE HYDROCHLORIDE|AMINOACRIDINE HYDROCHLORIDE	78OY3Z0P7Z
CCC1=C(C)NC2=C1C(=O)C(CN3CCOCC3)CC2	7231371	Minolteparin sodium molindone|Molindone|Molindone hydrochloride|Monohydrochloride, molindon|Moban|Molindonum|Molindone monohydrochloride|Endo brand of molindone hydrochloride|Hydrochloride, molindon|Molindona|4H-indol-4-one, 3-ethyl-1,5,6,7-tetrahydro-2-methyl-5-(4-morpholinylmethyl)-	RT3Y3QMF8N
ClC1=CC=C(C=C1)\C=N\NC(=N)N\N=C\C2=CC=C(Cl)C=C2	7231422	ROBENIDINE HYDROCHLORIDE	4888ME6C4E
CN1CCC2=C(C1)C(C3=C2C=CC=C3)C4=CC=CC=C4	7231471	2,3,4,9-Tetrahydro-2-methyl-9-phenyl-lh-indeno- (2,1-c)pyridine|Phenindaminum|Allphar brand of phenindamine tartrate|Carnrick brand of phenindamine tartrate|Phenindamine tartrate|Fenindamina|Phenindamine|Phenindamine hydrochloride|Nolahist|Thephorin|PHENINDAMINE	772BQ8KSST
CCCCCCCCCCCCCCCCCC(O)=O	7231544	STEARIC ACID (BORAGE OIL)|TRIETHANOLAMINE STEARATE	4ELV7Z65AP
[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(C\C(=N/OC)[C@H](C)C(O5)C(\C)=C\C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O	7231550	MOXIDECTIN	9B1T80RD1R|NGU5H31YO9|TYC529328W
[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)CC[C@]34C	7231570	Medroxiprogesterona|Medroxyprogesterone strakan bran|Adgyn medro|Strakan brand of medroxyprogesterone|Pregn-4-ene-3,20-dione, 17-hydroxy-6-methyl-, (6alpha)-|Medroxyprogesteronum|17 Alpha-hydroxy-6 alpha-methylprogesterone|Medroxyprogesterone|17 Alpha hydroxy 6 alpha methylprogesteron	HSU1C9YRES
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)COC(=O)C(C)(C)C)C1(C)C[C@H](O)[C@@]3(F)C2([H])C[C@H](F)C4=CC(=O)C=CC34C	7231587	FLUMETASONE PIVALATE|FLUMETHASONE PIVALATE	0DV09X6F21
C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]3O)C4=CN=CN4)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C	7231607	BLEOMYCIN SULFATE	13M89UEA7W
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])C[C@H](C)C4=CC(=O)CC[C@]34C	7231623	MEDROXYPROGESTERONE ACETATE	C2QI4IOI2G
C[N+](C)(C)CCO	7231677	CHOLINE BITARTRATE|CHOLINE CHLORIDE|CHOLINE (CHOLINE BITARTRATE)|CHOLINE SALICYLATE|PHOSPHATIDYL CHOLINE	N91BDP6H0X
OC(CC(O)=O)C(O)=O	7231683	Poly(malate)|Malic acid, l-|Poly (l-malate)|Poly(malate), (s)-isomer|Poly(malate), (+-)-isomer|Malate homopolymer|Sodium malate, l-|Periodon|Sodium poly(malate)|Poly(beta,l-malate)|Malic acid|Nafomine malate	817L1N4CKP
CC1=CC=CC=C1	7231688	4-Nitrotoluene hydride|Benzene, methyl-|P-nitrotoluene|Zharilek|Toluene|Xylenes|4-Nitrotoluene|Toluol|2,6-Dinitrotoluene|4-Nitrotoluene, ion (1-), hydrogen|4-Nitrotoluene, ion (1-)|1-Methyl-4-nitrobenzene|Xylene|2-Methyl-1,3-dinitrobenzene|Otoline|4-Nitrotoluene, (ar-nitro)-isomer|Dimethylbenzenes	3FPU23BG52
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4	7231717	METHSCOPOLAMINE BROMIDE	VDR09VTQ8U
ClCCN(CCCl)P1(=O)NCCCO1	7231732	CYCLOPHOSPHAMIDE|CYCLOPHOSPHAMIDE MONOHYDRATE	6UXW23996M
C[N+](C)(C)CCCCCC[N+](C)(C)C	7231810	Hexamethonii bromidum|Hexamethonium|Hexamethonium bromide|Bromuro de hexametonio|Hexamethonium iodide|N,n,n,n',n',n'- hexamethyl-1,6-hexanediaminium, dibenzenesulfonate|1,6-Hexanediaminium, n,n,n,n',n',n'-hexamethyl-|Hexamethonium chloride|Bromure d'hexamethonium|Hexamethonium tartrate|Benzohexonium|Hexamethonium chloride dihydrate|Hexamethonium bisbenzosulfonate|Benzohexamethonium	3C9PSP36Z2
[H][C@@]1(C[C@@H]([C@H](O)[C@H](C)O1)N2CCO[C@@H](C2)OC)O[C@H]3C[C@@](O)(CC4=C(O)C5=C(C(=O)C6=C(OC)C=CC=C6C5=O)C(O)=C34)C(=O)CO	7231820	Methoxymorpholinyl-doxorubicin|5,12-Naphthacenedione, 7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-10-((2,3,6-trideoxy-3-((2s)-2-methoxy-4-morpholinyl)-.alpha.-l-lyxo-hexopyranosyl)oxy)-, hydrochloride, (8s,10s)-|Fce-23762|Methoxy-morpholinyl-doxorubicin|Mmdox|Methoxymorpholinodx|7,8,9,10-Tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-10-((2,3,6-trideoxy-3-(2-methoxy-4-morpholinyl)-a-l-lyxo-hexopyranosyl)oxy)-5,12-naphthacenedione(8s-cis,2s) hydrochloride|Nemorubicinum|Pnu-152243a|Mmdx|Nemorubicin hydrochloride|Nemorubicin|Lemorubicin|Pnu 152243|3'-Deamino-3'-(2(s)-methoxy-4-morpholinyl)doxorubicin|Fce 23762	7618O47BQM
OCC1OB(O)OC1C(O)C(O)C(O)=O	7231824	CALCIUM BOROGLUCONATE|BORON GLUCONATE	X8P2SY4Y7V
CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C	7231846	NEOSTIGMINE BROMIDE|NEOSTIGMINE METHYLSULFATE	3982TWQ96G
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C	7231854	SUCCINYLCHOLINE CHLORIDE|SUXAMETHONIUM CHLORIDE	J2R869A8YF
COC1=CC=CC2=C1C(=O)C3=C(C2=O)C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O	7231866	DAUNORUBICIN	ZS7284E0ZP
O=C1NS(=O)(=O)C2=C1C=CC=C2	7231901	Sweeta|Saccharin sodium|Sodium saccharinate|Saccharin sodium, anhydrous|1,2-Benzisothiazol-3(2h)-one, 1,1-dioxide|Saccharin|Calcium saccharin, anhydrous|Saccharin calcium|Ammonium saccharin|Calcium, sacchari|Sodium saccharin dihydrate|Sucaryl	FST467XS7D
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C3=CC=CC=C3	7231902	DIAZEPAM	Q3JTX2Q7TU
CCCCC(O)=O	7231913	N-pentanoic acid, ammonium salt|N-pentanoic acid, 11c-labeled sodium salt|N-pentanoic acid, 11c-labeled|Poly(3-hydroxyvalerate)|N-pentanoic acid, zinc salt|N-pentanoic acid, sodium salt|N-pentanoic acid, maganese (+2) salt|Ammonium valerianicum|Valeric acid|N-pentanoic acid, potassium salt|N-pentanoic acid|Ammonium valerate	GZK92PJM7B
C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]2C[C@@](O)(CC3=C2C(=O)C4=C(C3=O)C(O)=C5C=CC=CC5=C4O)C(C)=O	7231935	IDARUBICIN HYDROCHLORIDE	5VV3MDU5IE
OC(=O)[C@@H]1CCCN1	7231961	L-PROLINE|PROLINE	9DLQ4CIU6V
[H][C@@]1(CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@]([H])(CC2=CC=CC=C2)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC(=O)[C@@]([H])(NC1=O)[C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC[C@H](C)CC)[C@@H](C)O	7231963	POLYMYXIN B (POLYMYXIN B SULFATE)|POLYMYXIN B SULFATE	B35S89JSRU
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CC(=C)C4=CC(=O)C=C[C@]34C	7231979	EXEMESTANE	NY22HMQ4BX
CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	7232042	(3 Alpha,5 alpha,20s)-pregnane-3,20-diol|Allopregnane-3,20-diol|Diol|Pregnanediol|Pregnandiol	26UE8C57W8|5W3FD26217|69Z9A22236|97N2Q625GO|C14JZ3DU5E|JR3JD1Y22C
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@@]2([H])NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)OCOC(=O)C(C)(C)C	7232045	PIVAMPICILLIN	0HLM346LL7
CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)[N@]2[C@H]1C(O)=O	7232070	Ciclacillinum|Aminocyclohexylpenicillin|Wy 450|Vastcillin|Cyclapen-w|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(((1-aminocyclohexyl)carbonyl)amino)-3,3-dimethyl-7-oxo-, (2s-(2alpha,5alpha,6beta))-|Ciclacillin|Wy-4508|Wy450|Cyclacillin|Ciclacilina|Ciclacilline|6-(1-Aminocyclohexanecarboxamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid	72ZJ154X86
CC(C)CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	7232105	Androst-4-en-3-one, 17-((4-methyl-1-oxopentyl)oxy)-, (17beta)-|Testosterone isocaproate	X8ST05GYDM
[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]4(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]4([H])C2	7232106	MINOCYCLINE|MINOCYCLINE HYDROCHLORIDE|MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE)	FYY3R43WGO
CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C2=CC=CC(Cl)=C2Cl)C(=O)OC	7232117	CLEVIDIPINE	19O2GP3B7Q
