Designation	Count	Genetic	Genes
GARD:0009596	0	False	
GARD:0006405	0	False	
GARD:0005725	2	False	AIP,GPR101
GARD:0005732	1	True	HMBS
GARD:0000522	7	False	FLT3,GNB1,NBN,BCR,TAL1,TAL2,NUP214
GARD:0012757	20	False	CEBPA,DNMT3A,ETV6,FLT3,GATA2,CHIC2,JAK2,KIT,KRAS,LPP,MLF1,NPM1,NSD1,SH3GL1,TERT,NUP214,MLLT10,PICALM,RUNX1,CBFB
GARD:0000538	2	False	NUMA1,RARA
GARD:0005748	1	True	ADA
GARD:0013103	0	True	
GARD:0005784	1	True	SERPINA1
GARD:0000621	3	True	HBA1,HBA2,HBB
GARD:0000207	0	False	
GARD:0000652	0	False	
GARD:0005786	4	False	DCTN1,NEFH,PRPH,SOD1
GARD:0003112	0	False	
GARD:0000664	0	False	
GARD:0008157	0	False	
GARD:0005836	5	False	IFNG,NBN,SBDS,PRF1,TERT
GARD:0005856	2	False	CLEC1A,CLEC7A
GARD:0010413	5	True	PKD1,GANAB,PKD2,PRKCSH,PKHD1
GARD:0013041	1	True	PROC
GARD:0005877	0	False	
GARD:0000020	3	False	CTHRC1,MSR1,ASCC1
GARD:0000848	0	False	
GARD:0000878	0	False	
GARD:0012210	4	False	FGFR3,HRAS,KRAS,RB1
GARD:0010556	0	False	
GARD:0000943	0	False	
GARD:0007269	1	True	CPS1
GARD:0005994	11	False	KIF1B,GDNF,MAX,TMEM127,RET,SDHB,SDHD,VHL,SDHA,SDHAF1,SDHC
GARD:0009316	0	False	
GARD:0012656	1	True	IL6
GARD:0010450	0	False	
GARD:0010668	0	False	
GARD:0006030	0	False	
GARD:0009240	0	False	
GARD:0010964	0	False	
GARD:0006100	5	True	CYBA,NCF1,NCF2,CYBB,NCF4
GARD:0006102	1	False	PMP22
GARD:0006104	0	False	
GARD:0006105	1	False	BCR
GARD:0013124	0	False	
GARD:0013452	0	False	
GARD:0009525	0	False	
GARD:0009320	0	False	
GARD:0009813	1	True	HSD3B7
GARD:0007710	1	True	SI
GARD:0010232	2	False	IL6,NOD2
GARD:0010927	1	True	NLRP3
GARD:0006219	0	False	
GARD:0006224	1	False	GNAS
GARD:0006226	0	True	
