Generic Name	Trade Name	UNII	Gene	UniProt	Family	Name
Sermorelin acetate	Geref	00IBG87IQW	GHRHR	Q02643	GPCR	Growth hormone-releasing hormone receptor
Coagulation factor IX (recombinant), Fc fusion protein	Alprolix	02E00T2QDE				
Tinidazole	Tindamax	033KF7V46H				
tinidazole	Tindamax	033KF7V46H				
Cytarabine liposomal	Depocyt	04079A1RDZ				
obeticholic acid	Ocaliva	0462Z4S4OZ	NR1H4	Q96RI1	NR	Bile acid receptor
Aprotinin	Trasylol	04XPW8C0FL	PLG	P00747	Enzyme	Plasminogen
Aprotinin	Trasylol	04XPW8C0FL	KLKB1	P03952	Enzyme	Plasma kallikrein
Fluocinolone	Retisert	0CD5FD6S2M				
Levocarnitine	Carnitor	0G389FZZ9M				
Levocarnitine	Carnitor	0G389FZZ9M				
Levocarnitine	Carnitor	0G389FZZ9M				
chenodiol	Chenix	0GEI24LG0J	NR1H4	Q96RI1	NR	Bile acid receptor
Topiramate	Topamax	0H73WJJ391	SCN1A	P35498	IC	Sodium channel protein type 1 subunit alpha
Topiramate	Topamax	0H73WJJ391	SCN5A	Q14524	IC	Sodium channel protein type 5 subunit alpha
Topiramate	Topamax	0H73WJJ391	GABRA1	P14867	IC	Gamma-aminobutyric acid receptor subunit alpha-1
Topiramate	Topamax	0H73WJJ391	GABRG2	P18507	IC	Gamma-aminobutyric acid receptor subunit gamma-2
Topiramate	Topamax	0H73WJJ391	GABRB2	P47870	IC	Gamma-aminobutyric acid receptor subunit beta-2
Topiramate	Topamax	0H73WJJ391	CA2	P00918	Enzyme	Carbonic anhydrase 2
Topiramate	Topamax	0H73WJJ391	CA4	P22748	Enzyme	Carbonic anhydrase 4
Topiramate	Topamax	0H73WJJ391	GRIA1	P42261	IC	Glutamate receptor 1
Topiramate	Topamax	0H73WJJ391	GRIA2	P42262	IC	Glutamate receptor 2
Topiramate	Topamax	0H73WJJ391	GRIA3	P42263	IC	Glutamate receptor 3
Topiramate	Topamax	0H73WJJ391	GRIA4	P48058	IC	Glutamate receptor 4
Topiramate	Topamax	0H73WJJ391	GRIK1	P39086	IC	Glutamate receptor ionotropic, kainate 1
