Rancho Sort	GARD Disease Title	GARD Disease ID	Rancho Disease Comment	Rancho Disease Status	oopd Vlookup	Metamap Text1	Metamap Term1	Metamap Name1	Metamap Type1	Designation	Neo4j Resolve1	Neo4j Resolve2	Neo4j Resolve3	Generic Name	Trade Name	Designation Date	Designation	Orphan Drug Status	FDA Approval Status	Approved Indication	Marketing Approval Date	Exclusivity End Date	Contact Company	Contact Address 1	Contact Address 2	Contact City	Contact State	Contact Zip	Contact Country	CF Grid Key
1194	Acquired amegakaryocytic thrombocytopenia	9596	done		4482	of severe chemotherapy-induced thrombocytopenia.	C0040034	Thrombocytopenia	fndg	Prevention of severe chemotherapy-induced thrombocytopenia.	Acquired amegakaryocytic thrombocytopenia|GARD:0009596|OPRELVEKIN|NEUMEGA|GARD:0009596	VON WILLEBRAND DISEASE|VWD		Oprelvekin	Neumega	35416	Prevention of severe chemotherapy-induced thrombocytopenia.	Designated/Approved	Approved for Orphan Indication		 11/25/1997 	 11/25/2004	"Genetics Institute, Inc."	87 Cambridge Park Drive		Cambridge	Massachusetts	2140	USA	96796
506	Acquired hemophilia A	6405	approximate	aquired hemophilia B	3890	Factor IX	C0015491	factor IX	aapp	Prevention of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX	Acquired hemophilia A|GARD:0006405|COAGULATION FACTOR VIIA (RECOMBINANT)|NOVOSEVEN|GARD:0006405	Hemophilia B|GARD:0008732|COAGULATION FACTOR VIIA (RECOMBINANT)|NOVOSEVEN|GARD:0008732	HEMOPHILIA B|CHRISTMAS DISEASE|FACTOR IX DEFICIENCY|ROYAL DISEASE	Coagulation factor VIIa (recombinant)	Novoseven	38189	Prevention of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX	Designated/Approved	Approved for Orphan Indication	Prevention of bleeding in surgical interventions or invasive procedures in patients with acquired hemophilia	 10/13/2006 	 10/13/2013	"Novo Nordisk, Inc."	100 College Road West		Princeton	New Jersey	8540	USA	190104
973	Acromegaly	5725	done		4222					Treatment for acromegly	Acromegaly|GARD:0005725|LANREOTIDE|SOMATULINE DEPOT|GARD:0005725			Lanreotide	Somatuline Depot	36780	Treatment for acromegly	Designated/Approved	Approved for Orphan Indication	Long-term treatment of acromegalic patients who have had an inadequate response to or cannot be treated with surgery and/or radiotherapy	 08/30/2007 	 08/30/2014	"IPSEN, Inc."	27 Maple Street		Milford	Massachusetts	1757	USA	136300
3609	Acromegaly	5725			3150	of acromegaly	C0001206	Acromegaly	dsyn	Treatment of acromegaly	Acromegaly|GARD:0005725|VAPREOTIDE|SANVAR|GARD:0005725	Acromegaly|GARD:0005725|ATL-1103|2'-O-(2-METHOXYETHYL)PHOSPHOROTHIOATE ANTISENSE OLIGONUCLEOTIDE|GARD:0005725	Acromegaly|GARD:0005725|OCTREOTIDE (ORAL)|OCTREOLIN(TM)|GARD:0005725	pasireotide	n/a	40050	Treatment of acromegaly	Designated/Approved	Approved for Orphan Indication	Treatment of patients with acromegaly who have had an inadequate response to surgery and/or for whom surgery is not an option	 12/15/2014 	 12/15/2021	Novartis Pharmaceuticals Corporation	One Health Plaza	"Bldg 104, 3K28"	East Hanover	New Jersey	7936	USA	288609
3614	Acromegaly	5725			4382	of acromegaly.	C0001206	Acromegaly	dsyn	Treatment of acromegaly.	Acromegaly|GARD:0005725|VAPREOTIDE|SANVAR|GARD:0005725	Acromegaly|GARD:0005725|ATL-1103|2'-O-(2-METHOXYETHYL)PHOSPHOROTHIOATE ANTISENSE OLIGONUCLEOTIDE|GARD:0005725	Acromegaly|GARD:0005725|OCTREOTIDE (ORAL)|OCTREOLIN(TM)|GARD:0005725	Octreotide	Sandostatin Lar	36031	Treatment of acromegaly.	Designated/Approved	Approved for Orphan Indication	Reduction of growth hormone and IGF-1 (somatomedin C) in acromegaly.	 11/25/1998 	 11/25/2005	Novartis Pharmaceuticals Corporation	59 Route 10		East Hanover	New Jersey	7936	USA	114598
3613	Acromegaly	5725			4456	of acromegaly.	C0001206	Acromegaly	dsyn	Treatment of acromegaly.	Acromegaly|GARD:0005725|VAPREOTIDE|SANVAR|GARD:0005725	Acromegaly|GARD:0005725|ATL-1103|2'-O-(2-METHOXYETHYL)PHOSPHOROTHIOATE ANTISENSE OLIGONUCLEOTIDE|GARD:0005725	Acromegaly|GARD:0005725|OCTREOTIDE (ORAL)|OCTREOLIN(TM)|GARD:0005725	Pegvisomant	Somavert	35605	Treatment of acromegaly.	Designated/Approved	Approved for Orphan Indication	"Treatment of acromegaly in patients who have had an inadequate response to surgery and/or radiation therapy and/or other medical therapies, or for whom these therapies are not appropriate"	 03/25/2003 	 03/25/2010	Sensus Corporation	"Suite 430,"	98 San Jacinto Boulevard	Austin	Texas	78701	USA	105097
783	Acute intermittent porphyria	5732	done		5256	of recurrent attacks of acute intermittent porphyria	C0162565	Acute intermittent porphyria	dsyn	"Amelioration of recurrent attacks of acute intermittent porphyria (AIP) temporarily related to the menstrual cycle in susceptible women and similar symptoms which occur in other patients with AIP, porphyria variegata and hereditary coproporphyria."	Acute intermittent porphyria|GARD:0005732|HEMIN|PANHEMATIN|GARD:0005732	Acute intermittent porphyria|GARD:0005732|HEMIN|PANHEMATIN|GARD:0005732	Hereditary coproporphyria|GARD:0006619|HEMIN|PANHEMATIN|GARD:0006619	Hemin	Panhematin	30757	"Amelioration of recurrent attacks of acute intermittent porphyria (AIP) temporarily related to the menstrual cycle in susceptible women and similar symptoms which occur in other patients with AIP, porphyria variegata and hereditary coproporphyria."	Designated/Approved	Approved for Orphan Indication		 07/20/1983 	 07/20/1990	Abbott Laboratories	Diagnostics Division		Abbott Park	Illinois	60064	USA	683
3165	Acute lymphoblastic leukemia	522			2172	of Acute Lymphoblastic Leukemia	C0023449	Acute lymphocytic leukemia	neop	For the treatment of Acute Lymphoblastic Leukemia	ACUTE LYMPHOBLASTIC LEUKEMIA|DOID:9952|MESH:D054198	CHILDHOOD T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CL520601|NCIT:C131876|NCI:C131876	REFRACTORY CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA|REFRACTORY ACUTE LYMPHOBLASTIC LEUKEMIA (ALL)|NCIT:C122624|NCI:C122624|UMLS:C4054085	(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19	Kymriah (Tisagenlecleucel)	41670	For the treatment of Acute Lymphoblastic Leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse	 08/30/2017 	 08/30/2024	Novartis Pharmaceuticals Corporation	"One Health Plaza,"	Bldg 315 - Room 3650B	East Hanover	New Jersey	7936	USA	415113
3158	Acute lymphoblastic leukemia	522			3539	of acute lymphoblastic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphoblastic leukemia	ACUTE LYMPHOBLASTIC LEUKEMIA|DOID:9952|MESH:D054198	CHILDHOOD T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CL520601|NCIT:C131876|NCI:C131876	REFRACTORY CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA|REFRACTORY ACUTE LYMPHOBLASTIC LEUKEMIA (ALL)|NCIT:C122624|NCI:C122624|UMLS:C4054085	vinCRIStine sulfate LIPOSOME injection	Marqibo	39090	Treatment of acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of adult patients with Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL) in second or greater relapse or whose disease has progressed following two or more anti-leukemia therapies.	 08/09/2012 	 08/09/2019	Acrotech Biopharma LLC	279 Princeton Hightstown Road		East Windsor	New Jersey	8520	USA	234406
3144	Acute lymphoblastic leukemia	522			4118	of acute lymphoblastic leukemia	C0023449	Acute lymphocytic leukemia	neop	Treatment of acute lymphoblastic leukemia	ACUTE LYMPHOBLASTIC LEUKEMIA|DOID:9952|MESH:D054198	CHILDHOOD T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|T ACUTE LYMPHOBLASTIC LEUKEMIA IN REMISSION|CL520601|NCIT:C131876|NCI:C131876	REFRACTORY CHILDHOOD ACUTE LYMPHOBLASTIC LEUKEMIA|REFRACTORY ACUTE LYMPHOBLASTIC LEUKEMIA (ALL)|NCIT:C122624|NCI:C122624|UMLS:C4054085	clofarabine	Clolar	37294	Treatment of acute lymphoblastic leukemia	Designated/Approved	Approved for Orphan Indication	Treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens	 12/28/2004 	 12/28/2011	Genzyme Corporation	4545 Horizon Hill Blvd.		San Antonio	Texas	78229	USA	153201
