Year	Trademark	Generic Name	UNII	Date [text]	App Type	NDA/BLA No.	Sponsor	Ref		
1938	Paredrinol	pholedrine	AY28O44JGD		NDA	1-379	Smith Kline & French	https://books.google.com/books?id=4lDaPUCtJIsC&pg=RA3-PA879&dq=PAREDRINOL+1938		
1938	Cyverine hydrochloride	cyverine hydrochloride	H5DOV3J7EP	07-27-39	NDA	0-939	Frederick Stearns	https://books.google.com/books?id=pm9KAQAAIAAJ&lpg=PA470&ots=aA7IeOI1kb&dq=cyverine%20suspended&pg=PA470#v=onepage&q=cyverine%20suspended&f=false		
1939	Perandren	testosterone propionate	WI93Z9138A	03-07-39	NDA	0-499	Ciba	https://www.gpo.gov/fdsys/pkg/FR-1998-05-04/html/98-11684.htm		
1940	Furmerane	2-hydroxymercurifuran	5199501633				Searle	DeHaen 1940-1975 NMEs		
1940	Ephynal Acetate	alpha tocopherol	H4N855PNZ1				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1940	Cortate	desoxycorticosterone acetate	6E0A168OB8				Schering	DeHaen 1940-1975 NMEs		
1939	Doca	desoxycorticosterone acetate	6E0A168OB8	08-17-39	NDA	1-104	Roche-Organon (H.La Roche; Organon)	DeHaen 1940-1975 NMEs		
1940	Percorten	desoxycorticosterone acetate	6E0A168OB8				Ciba	DeHaen 1940-1975 NMEs		
1940	Hytakerol	dihydrotachysterol	R5LM3H112R				Winthrop-Stearns (Winthrop)	DeHaen 1940-1975 NMEs		
1940	Dimenformon	estradiol	4TI98Z838E				Roche-Organon (H.La Roche; Organon)	DeHaen 1940-1975 NMEs		
1940	Progynon-DH	estradiol	4TI98Z838E		NDA	0-150	Schering	DeHaen 1940-1975 NMEs		
1940	Dimenformon Benzoate	estradiol benzoate	1S4CJB5ZGN				Roche-Organon (H.La Roche; Organon)	DeHaen 1940-1975 NMEs		
1940	Progynon-B	estradiol benzoate	1S4CJB5ZGN				Schering	DeHaen 1940-1975 NMEs		
1940	Dimenformon Dipropionate	estradiol dipropionate	NIG5418BXB				Roche-Organon (H.La Roche; Organon)	DeHaen 1940-1975 NMEs		
1940	Ovocylin Dipropionate	estradiol dipropionate	NIG5418BXB		NDA	0-741	Ciba	DeHaen 1940-1975 NMEs		
1940	Progynon-DP	estradiol dipropionate	NIG5418BXB		NDA	1-802	Schering	DeHaen 1940-1975 NMEs		
1940	Mannitol Hexanitrate	mannitol hexanitrate	99AU28W1G9				Various Mfrs.	DeHaen 1940-1975 NMEs		
1940	Kayquinone	menadione	723JX6CXY5				Abbott	DeHaen 1940-1975 NMEs		
1940	Hykinone	menadione sodium bisulfite	97K34V88SA		NDA	2-694	Abbott	DeHaen 1940-1975 NMEs		
1940	Sulfathiazole	sulfathiazole	Y7FKS2XWQH				Merck	DeHaen 1940-1975 NMEs		
1940	Sulfathiazole	sulfathiazole	Y7FKS2XWQH	07-19-40	NDA	2-712	Winthrop	https://books.google.com/books?id=pm9KAQAAIAAJ&lpg=PA470&ots=aA7IeOI1kb&dq=cyverine%20suspended&pg=PA470#v=onepage&q=cyverine%20suspended&f=false		
1940	Proloid	thyroglobulin	NN2P9VPL7M				Maltine (WarnerLambert)	DeHaen 1940-1975 NMEs		
1940	Delvinal	vinbarbital	7NZH2C1T6O				Sharp & Dohme (MSD)	DeHaen 1940-1975 NMEs		
1940	Synkamin	vitamin K	S5Z3U87QHF				Parke-Davis	DeHaen 1940-1975 NMEs		
1940	Calcium mandelate	calcium mandelate	29CS07FZII		NDA	0-934	Baxter	https://books.google.com/books?id=Qh_nAAAAMAAJ&q=CALCIUM+MANDELATE&dq=CALCIUM+MANDELATE		
1941	Amethone HCl	amolanone HCl	M36927R46E				Abbott	DeHaen 1940-1975 NMEs		
1941	Monocaine Formate	butethamine formate	N7626F65HF				Novocol	DeHaen 1940-1975 NMEs		
1941	Ceepryn	cetylpyridinium chloride	D9OM4SK49P				Merrell	DeHaen 1940-1975 NMEs		
1941	Diethylstilbestrol	diethylstilbestrol	731DCA35BT				Various Mfrs.	DeHaen 1940-1975 NMEs		
1941	Synkayvite	menadiol sodium diphosphate	2OVL75B30W				Hoffmann-La Roche	DeHaen 1940-1975 NMEs		
1941	Metandren	methyltestosterone	V9EFU16ZIF				Ciba	DeHaen 1940-1975 NMEs		
1941	Neo-Hombreol M	methyltestosterone	V9EFU16ZIF				Roche-Organon (H.La Roche; Organon)	DeHaen 1940-1975 NMEs		
1941	Oreton Methyl	methyltestosterooe	6E0A168OB8				Schering	DeHaen 1940-1975 NMEs		
1941	Amylsine HCl	naepaine HCl	463O18JU8V				Novocol	DeHaen 1940-1975 NMEs		
1941	Sodium d-Pantothenate	pantothenate sodium	OES0R93F0C				Parke-Davis	DeHaen 1940-1975 NMEs		
1941	Nembutal Calcium	pentobarbital calcium	66V4W08X7J		NDA	9-861	Abbott	DeHaen 1940-1975 NMEs		
1941	Propadrine	phenylpropanolamine hydrochloride	8D5I63UE1Q				Merck Sharp & Dohme	DeHaen 1940-1975 NMEs		
1941	Mephyton	phytonadione	S5Z3U87QHF				Merck	DeHaen 1940-1975 NMEs		
1941	Amigen	protein hydrolysate injection					Mead Johnson	DeHaen 1940-1975 NMEs		
1941	Sulamyd	sulfacetamide	4965G3J0F5				Schering	DeHaen 1940-1975 NMEs		
1941	Sulfadiazine	sulfadiazine	0N7609K889	08-11-41	NDA	4-054	Lederle	DeHaen 1940-1975 NMEs		
1941	Sulfaguanidine	sulfaguanidine	15XQ8043FN				Lederle	DeHaen 1940-1975 NMEs		
1941	Glucophylline	theophylline meglumine	1442U7XKHA				Abbott	DeHaen 1940-1975 NMEs		
1941	Pitressin Tannate	vasopressin tannate	4R069M4O1P				Parke-Davis	DeHaen 1940-1975 NMEs		
1941	Synkamin	vitamin K5	KKP97T7O0X		NDA	3-472	Parke-Davis	https://books.google.com/books?id=vvHnAAAAMAAJ&q=synkamin&dq=synkamin		
1942	Pavatrine	2-diethylaminoethyl 9-fluorenecarboxylate	23AHS3XR5K				Searle	DeHaen 1940-1975 NMEs		
1942	Phosphaljel	aluminum phosphate	F92V3S521O				Wyeth	DeHaen 1940-1975 NMEs		
1942	Benzestrol	benzestrol	A27512LR47				Schieffelin	DeHaen 1940-1975 NMEs		
1942	Phemerol Chloride	benzethonium chloride	PH41D05744				Parke-Davis	DeHaen 1940-1975 NMEs		
1942	Calcium levulinate	calcium levulinate	T6133SO781				Various Mfrs.	DeHaen 1940-1975 NMEs		
1942	Premarin	"estrogenic substances, conjugated"		05-08-42	NDA	4-782	Ayerst	DeHaen 1940-1975 NMEs		
1942	Nethamine	etafedrine HCl	Y134VQ304Y				Merrell (MerrellNational)	DeHaen 1940-1975 NMEs		
1939	Heparin	heparin sodium	ZZ45AB24CA	02-09-39	NDA	0-552	Upjohn; Various Mfrs.	DeHaen 1940-1975 NMEs		
1938	Paredrine HBr	hydroxyamphetamine HBr	59IG47SZ0E		NDA	0-004	Smith Kline & French	DeHaen 1940-1975 NMEs		
1942	Privine HCl	naphazoline HCl	MZ1131787D				Ciba	DeHaen 1940-1975 NMEs		
1942	Sulfasuxidine	succinylsulfathiazole	RSS8647O4S				Sharp & Dohme (MSD)	DeHaen 1940-1975 NMEs		
1941	Sulfadiazine Sodium	sulfadiazine sodium	84CS1P306F	08-11-41	NDA	4-054 Lederle	DeHaen 1940-1975 NMEs		
1942	Tyrothricin	tyrothricin	877376V2XW				Merck	DeHaen 1940-1975 NMEs		
1943	Aralen	chloroquine phosphate	6E17K3343P		NDA	6-002	Winthrop	DeHaen 1940-1975 NMEs		
1943	Globin Insulin	globin zinc insulin injection					Burroughs Wellcome	DeHaen 1940-1975 NMEs		
1943	Hexestrol	hexestrol	10BI795R7D				Various Mfrs.	DeHaen 1940-1975 NMEs		
1943	Mercuhydrin Sodium	meralluride sodium	3P7B4Q5T8A				Lakeside (MerrellNational)	DeHaen 1940-1975 NMEs		
1943	Penicillin G Sodium	penicillin G sodium	YS5LY7JF4N				Various Mfrs.	DeHaen 1940-1975 NMEs		
1943	Vonedrine hydrochloride	phenpromethamine hydrochloride	91L40I3N18				Merrell (MerrellNational)	DeHaen 1940-1975 NMEs		
1943	Salicylamide	salicylamide	EM8BM710ZC				Various Mfrs.	DeHaen 1940-1975 NMEs		
1943	Sulfamerazine	sulfamerazine	UR1SAB295F				Lederle	DeHaen 1940-1975 NMEs		
1943	Tuamine Sulfate	tuaminoheptane sulfate	WZK5LN5CNW				Lilly	DeHaen 1940-1975 NMEs		
1943	Delvinal Sodium	vinbarbital sodium	BAS6234GZ7				Sharp & Dohme (MSD)	DeHaen 1940-1975 NMEs		
1943	Monomestrol	mestilbol	N44U12UW5N		NDA	5-015	Wallace & Tiernan	https://books.google.com/books?id=Z_gjAQAAMAAJ&q=monomestrol&dq=monomestrol		
1943	Zinc sulfathiazole	zinc sulfathiazole	4KCI0QUF9Q		NDA	5-027	Squibb	https://books.google.com/books?id=Z_gjAQAAMAAJ&q=ZINC+SULFATHIAZOLE&dq=ZINC+SULFATHIAZOLE		
1944	Merbak	acetomeroctol	W8OY9Y1132				Schieffelin	DeHaen 1940-1975 NMEs		
1944	Butaphyllamine	ambuphylline	VOU5V0B772				Merrell (MerrellNational)	DeHaen 1940-1975 NMEs		
1944	Carbarsone	carbarsone	8PK70TXE1T				Lilly	DeHaen 1940-1975 NMEs		
1944	Dexedrine Sulfate	dextroamphetamine sulfate	JJ768O327N				Smith Kline & French	DeHaen 1940-1975 NMEs		
1944	Dicumarol	dicumarol	7QID3E7BG7	07-31-44	NDA	5-545	Various Mfrs.	DeHaen 1940-1975 NMEs		
1944	Dibestil	diethylstilbestrol dipropionate	Y98CK3J0OL				Breon	DeHaen 1940-1975 NMEs		
1946	BAL	dimercaprol	0CPP32S55X	05-06-46	NDA	5-939	"Hynson, Westcott & Dunning"	DeHaen 1940-1975 NMEs		
1944	Estioyl	ethinyl estradiol	423D2T571U				Schering	DeHaen 1940-1975 NMEs		
1944	Furmethide	furtrethonium iodide	1D064NLD7G				Smith Kline & French	DeHaen 1940-1975 NMEs		
1942	Demerol HCl	meperidine HCl	N8E7F7Q170	11-10-42	NDA	5-010	Winthrop	DeHaen 1940-1975 NMEs		
1944	Mercuhydrin	meralluride	R062D0212H				Lakeside (MerrellNational)	DeHaen 1940-1975 NMEs		
1944	Methedrine	methamphetamine HCl	997F43Z9CV		NDA	5-504	Burroughs Wellcome	DeHaen 1940-1975 NMEs		
1944	Sulfapyrazine	sulfapyrazine sodium	2937C57J2U		NDA	5-300	Mead Johnson	https://www.sciencedirect.com/science/article/abs/pii/S0022347644800026		
1945	Miller-Drine	DL-DESOXYEPHEDRINE HYDROCHLORIDE	24GNZ56D62		NDA	6-003	Smith, Miller and Patch	https://books.google.com/books?id=cQSYeYNQ8_4C&lpg=PA160&ots=LQpLcBbp0s&dq=methedrine%20nda&pg=PA160#v=onepage&q=methedrine%20nda&f=false		
1944	Tuamine	tuaminoheptane	Z0420GYD84				Lilly	DeHaen 1940-1975 NMEs		
1945	Lauron	aurothioglycanide	2A9D34A16M				Endo	DeHaen 1940-1975 NMEs		
1945	Chloresium	"chlorophyll, water soluble"	00WNZ48OR9				Rystan	DeHaen 1940-1975 NMEs		
1945	Chotbyn clihydrogen cit.	choline dihydrogen citrate	DQ8HHP07GL		NDA	5-846	Flint	DeHaen 1940-1975 NMEs		
1945	Dichlor Mapharsen	dichlorophenarsine HCl	571850CM3R				Parke-Davis	DeHaen 1940-1975 NMEs		
1945	Algyn	dihydroxyaluminum aminoacetate	DO250MG0W6				Brayten (Chattem)	DeHaen 1940-1975 NMEs		
1945	Promin Sodium	glucosulfone sodium	I6RLN7D44F				Parke-Davis	DeHaen 1940-1975 NMEs		
1945	Methionine	methionine	AE28F7PNPL				Various Mfrs.	DeHaen 1940-1975 NMEs		
1945	Penicillin G Calcium	penicillin G calcium	Z1GL5S1Z1Z				Various Mfrs.	DeHaen 1940-1975 NMEs		
1945	Penicillin G Potassium	penicillin G potassium	VL775ZTH4C				Various Mfrs.	DeHaen 1940-1975 NMEs		
1945	Seconal	secobarbital	1P7H87IN75		NDA	7-392	Lilly	DeHaen 1940-1975 NMEs		
1945	Sodium Caprylate	sodium caprylate	9XTM81VK2B				Pennwalt	DeHaen 1940-1975 NMEs		
1945	Alphatron	Radon RN-222	3Z30NQN07C		NDA	5-924	Canadian Radium & Uranium	https://archive.org/stream/pennsylvaniamedi5019medi/pennsylvaniamedi5019medi_djvu.txt		
1946	Streptomycin HCl	streptomycin hydrochloride	8P331B9592		NDA	60-113	Philadelphia	DeHaen 1940-1975 NMEs		
1945	Desenex Sol.	undecylenic acid	K3D86KJ24N				Pennwalt	DeHaen 1940-1975 NMEs		
1946	Oralator	2-amino-6-methylheptane	3GQ9E911BI				Smith Kline & French	DeHaen 1940-1975 NMEs		
1946	Bistrimate	bismuth sodium triglycollamate	X9A8P4D3IF				Smith Pharmacal	DeHaen 1940-1975 NMEs		
1946	Hemo-Pak	"cellulose, oxidized"	44AIH82TSC				Johnson & Johnson	DeHaen 1940-1975 NMEs		
1946	D.H.E.45	dihydroergotamine mesylate	81AXN7R2QT	04-12-46	NDA	5-929	Sandoz	DeHaen 1940-1975 NMEs		
1946	Benadryl	diphenhydramine HCl	TC2D6JAD40	03-04-46	NDA	5-845	Parke-Davis	DeHaen 1940-1975 NMEs		
