Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
1	ADMA BIOLOGICS INC / 2019	ASCENIV	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%"	125590 / 0	1	5000 MG/50 ML ( 100 MG/ML )	04/01/2019	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
2	ADMA BIOLOGICS INC / 2019	BIVIGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125389 / 0	2	5 GM/50 ML ( 10 GM/100 ML )	12/19/2012	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
3	ADMA BIOLOGICS INC / 2019	NABI-HB	HEPATITIS B IMMUNE GLOBULIN (HUMAN)	103945 / 0	1	>312 IU/ML ( >312 IU/ML )	10/23/2001	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
4	ADMA BIOLOGICS INC / 2019	NABI-HB	HEPATITIS B IMMUNE GLOBULIN (HUMAN)	103945 / 0	2	>1560 IU/5 ML ( >312 IU/ML )	10/23/2001	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
5	ALK ABELLO INC / 1256	HISTATROL	POSITIVE SKIN TEST CONTROL - HISTAMINE	103754 / 0	1	1 MG/10 ML ( 0.1 MG/ML )	02/23/1998	SOLUTION / INTRADERMAL / MULTI-DOSE VIAL	
6	ALK ABELLO INC / 1256	HISTATROL	POSITIVE SKIN TEST CONTROL - HISTAMINE	103754 / 0	2	5 MG/5 ML ( 1 MG/ML )	02/23/1998	SOLUTION / PERCUTANEOUS / MULTI-DOSE VIAL	
7	AMGEN INC / 1080	IMLYGIC	TALIMOGENE LAHERPAREPVEC	125518 / 0	1	1 MILLION PFU/ML ( 1 MILLION PFU/ML )	10/27/2015	SUSPENSION / INTRALESIONAL / SINGLE-DOSE VIAL	
8	AMGEN INC / 1080	IMLYGIC	TALIMOGENE LAHERPAREPVEC	125518 / 0	2	100 MILLION PFU/ML ( 100 MILLION PFU/ML )	10/27/2015	SUSPENSION / INTRALESIONAL / SINGLE-DOSE VIAL	
9	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	1	250 IU ( 250 IU/VIAL )	12/21/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
10	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	2	500 IU ( 500 IU/VIAL )	04/29/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
11	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	3	1000 IU ( 1000 IU/VIAL )	04/29/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
12	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	4	1500 IU ( 1500 IU/VIAL )	04/29/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
13	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	5	2000 IU ( 2000 IU/VIAL )	12/21/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
14	APTEVO BIOTHERAPEUTICS LLC / 2054	IXINITY	COAGULATION FACTOR IX (RECOMBINANT)	125426 / 0	6	3000 IU ( 3000 IU/VIAL )	12/21/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
15	AVEXIS INC / 2104	ZOLGENSMA	ONASEMNOGENE ABEPARVOVEC-XIOI	125694 / 0	1	11 LOG 13VG/5.5 ML ( 2.0 LOG 13VG/ML )	05/24/2019	SUSPENSION / INTRAVENOUS / SINGLE-DOSE VIAL	
16	AVEXIS INC / 2104	ZOLGENSMA	ONASEMNOGENE ABEPARVOVEC-XIOI	125694 / 0	2	16.6 LOG 13VG/8.3 ML ( 2.0 LOG 13VG/ML )	05/24/2019	SUSPENSION / INTRAVENOUS / SINGLE-DOSE VIAL	
17	BAVARIAN NORDIC AS / 2096	JYNNEOS	"SMALLPOX AND MONKEYPOX VACCINE, LIVE, NONREPLICATING"	125678 / 0	1	0.5 ML/DOSE ( 0.5 ML/DOSE )	09/24/2019	SUSPENSION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
18	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	1	250 IU (  250 IU/VIAL )	07/25/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
19	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	2	500 IU (  500 IU/VIAL )	07/25/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
20	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	3	1000 IU ( 1000 IU/VIAL )	07/25/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
21	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	4	1500 IU ( 1500 IU/VIAL )	07/25/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
22	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	5	2000 IU ( 2000 IU/VIAL )	04/12/2006	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
23	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	6	3000 IU ( 3000 IU/VIAL )	07/03/2007	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
24	BAXALTA US INC / 2020	ADVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PLASMA/ALBUMIN FREE"	125063 / 0	7	4000 IU ( 4000 IU/VIAL )	07/12/2012	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
25	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 0	1	250 IU ( 250 IU/VIAL )	11/13/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
26	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 0	2	500 IU ( 500 IU/VIAL )	11/13/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
27	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 0	3	1000 IU ( 1000 IU/VIAL )	11/13/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
28	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 0	4	2000 IU ( 2000 IU/VIAL )	11/13/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
29	BAXALTA US INC / 2020	ADYNOVATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), PEGYLATED"	125566 / 104	5	750 IU ( 750 IU/VIAL )	10/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
