NADA_ID	UNII	Ingredient	AppNo	Rx	Status	AppType	Sponsor	Trade Name	Reference	Routes	Ingredients
NJJ0475N0S004-536	NJJ0475N0S	PENTOBARBITAL SODIUM	004-536	RX	Approved	N	Intervet, Inc.	Somnopentyl Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/004-536	Intraperitoneal|Intravenous	Pentobarbital Sodium
5RLR54Z22K005-236	5RLR54Z22K	2-MERCAPTOBENZOTHIAZOLE	005-236	OTC	Approved	N	Farnam Companies, Inc.	Sulfodene® Medication for Dogs	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/005-236	Topical	2-Mercaptobenzothiazole
9ME188B87G005-633	9ME188B87G	IODINATED CASEIN	005-633	OTC	Approved	N	Agri-Tech, Inc.	Protomone Thyroactive Casein	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/005-633	Oral	Iodinated Casein
48U51W007F006-084	48U51W007F	SULFAMETHAZINE	006-084	RX	Approved	N	Huvepharma EOOD	Sulmet® Drinking Water Solution, 12.5%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-084	Oral	Sulfamethazine
20ED16GHEB006-103	20ED16GHEB	CHORIONIC GONADOTROPIN	006-103	RX	Approved	N	Zoetis Inc.	Follutein Veterinary	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-103	Intravenous|Intramuscular|Intrafollicular	Chorionic Gonadotropin
2G86QN327L006-281	2G86QN327L	GELATIN	006-281	RX	Approved	N	Zoetis Inc.	Intragel	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-281	Oral	Gelatin|Sodium Chloride
451W47IQ8X006-281	451W47IQ8X	SODIUM CHLORIDE	006-281	RX	Approved	N	Zoetis Inc.	Intragel	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-281	Oral	Gelatin|Sodium Chloride
WNW8115TM9006-391	WNW8115TM9	SULFAQUINOXALINE	006-391	VFD	Approved	N	Huvepharma EOOD	S.Q. 40%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-391	Oral	Sulfaquinoxaline
FWV8GJ56ZN006-417	FWV8GJ56ZN	TRIPELENNAMINE HYDROCHLORIDE	006-417	RX	Approved	N	Kinetic Technologies, LLC	Recovr Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-417	Intravenous|Intramuscular	Tripelennamine Hydrochloride
V9BI9B5YI2006-602	V9BI9B5YI2	DOXYLAMINE SUCCINATE	006-602	RX	Approved	N	Intervet, Inc.	A-H-Tablets 100 mg	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-602	Oral	Doxylamine Succinate
3FPU23BG52006-691	3FPU23BG52	TOLUENE	006-691	OTC	Approved	N	Intervet, Inc.	Vermiplex	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-691	Oral	Toluene|Dichlorophene
T1J0JOU64O006-691	T1J0JOU64O	DICHLOROPHENE	006-691	OTC	Approved	N	Intervet, Inc.	Vermiplex	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-691	Oral	Toluene|Dichlorophene
21223EPJ40006-707	21223EPJ40	SULFAQUINOXALINE SODIUM	006-707	RX	Approved	N	Zoetis Inc.	Sulquin® 6-50 Concentrate	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-707	Oral	Sulfaquinoxaline sodium
HM4YQM8WRC006-983	HM4YQM8WRC	CHLOROBUTANOL	006-983	RX	Approved	N	Intervet, Inc.	A-H Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/006-983	Intravenous|Subcutaneous|Intramuscular	Doxylamine Succinate|Chlorobutanol
4U7K4N52ZM007-879	4U7K4N52ZM	OXYTETRACYCLINE HYDROCHLORIDE	007-879	RX	Approved	N	Zoetis Inc.	Terramycin® Vet Capsules	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/007-879	Oral	Oxytetracycline Hydrochloride
740T4C525W007-981	740T4C525W	SULFISOXAZOLE	007-981	OTC	Approved	N	Zoetis Inc.	Soxisol Tablets	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/007-981	Oral	Sulfisoxazole
98IMH7M386008-097	98IMH7M386	NEOSTIGMINE METHYLSULFATE	008-097	RX	Approved	N	Intervet, Inc.	Stiglyn 1:500	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-097	Intramuscular|Subcutaneous	Neostigmine Methylsulfate
K0U68Q2TXA008-760	K0U68Q2TXA	CORTICOTROPIN	008-760	RX	Approved	N	Putney, Inc.	Adrenomone	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-760	Subcutaneous|Intramuscular	Corticotropin
19371312D4008-763	19371312D4	POLYMYXIN B SULFATE	008-763	OTC	Approved	N	Zoetis Inc.	Terramycin® Ophthalmic Ointment with Polymyxin	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-763	Ophthalmic	Oxytetracycline Hydrochloride|Polymyxin B Sulfate
RHK739S84F008-932	RHK739S84F	THIALBARBITONE SODIUM	008-932	RX	Approved	N	Zoetis Inc.	Kemithal L.A.	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/008-932	Intravenous	Thialbarbitone Sodium
U96OL57GOY009-035	U96OL57GOY	PROPARACAINE HYDROCHLORIDE	009-035	RX	Approved	N	Zoetis Inc.	Ophthaine® Solution	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-035	Ophthalmic	Proparacaine Hydrochloride
009-167		PITUITARY LUTEINIZING HORMONE	009-167	RX	Approved	N	Intervet, Inc.	P.L.H. Injectable	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-167	Subcutaneous|Intravenous	Pituitary Luteinizing Hormone
09TQU5PG95009-339	09TQU5PG95	CARAMIPHEN EDISYLATE	009-339	OTC	Approved	N	Zoetis Inc.	Carafen Cough Syrup	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-339	Oral	Caramiphen Edisylate|Ammonium Chloride
01Q9PC255D009-339	01Q9PC255D	AMMONIUM CHLORIDE	009-339	OTC	Approved	N	Zoetis Inc.	Carafen Cough Syrup	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-339	Oral	Caramiphen Edisylate|Ammonium Chloride
13AFD7670Q009-392	13AFD7670Q	PRIMIDONE	009-392	RX	Approved	N	Zoetis Inc.	Primidone	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-392	Oral	Primidone
11P9NUA12U009-476	11P9NUA12U	NICARBAZIN	009-476	OTC	Approved	N	Phibro Animal Health Corp.	Nicarb® 25%	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-476	Oral	Nicarbazin
4G7DS2Q64Y009-576	4G7DS2Q64Y	PROGESTERONE	009-576	OTC	Approved	N	Zoetis Inc.	Synovex® C	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-576	Subcutaneous	Progesterone|Estradiol Benzoate
1S4CJB5ZGN009-576	1S4CJB5ZGN	ESTRADIOL BENZOATE	009-576	OTC	Approved	N	Zoetis Inc.	Synovex® C	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-576	Subcutaneous	Progesterone|Estradiol Benzoate
5908ZUF22Y009-782	5908ZUF22Y	CHLORHEXIDINE ACETATE	009-782	OTC	Approved	N	Zoetis Inc.	Nolvasan® Antiseptic Ointment	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-782	Topical	Chlorhexidine Acetate
E64XL9U38K009-809	E64XL9U38K	CHLORHEXIDINE HYDROCHLORIDE	009-809	OTC	Approved	N	Zoetis Inc.	Nolvasan® Cap-Tabs®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-809	Intrauterine	Chlorhexidine Hydrochloride
VB0R961HZT009-963	VB0R961HZT	PREDNISONE	009-963	RX	Approved	N	Intervet, Inc.	Meticorten®	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/009-963	Intramuscular	Prednisone
Y7A95YRI88010-092	Y7A95YRI88	ERYTHROMYCIN THIOCYANATE	010-092	VFD	Approved	N	Bimeda Animal Health Limited	Gallimycin®-100P	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-092	Oral	Erythromycin Thiocyanate
8B2807733D010-312	8B2807733D	PREDNISOLONE ACETATE	010-312	RX	Approved	N	Intervet, Inc.	Meticortelone Acetate	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-312	Intramuscular|Intra-Articular	Prednisolone Acetate
49Y44QZL70010-346	49Y44QZL70	THIOPENTAL SODIUM	010-346	RX	Approved	N	Bimeda Animal Health Limited	Combuthal Powder	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-346	Intravenous	Pentobarbital Sodium|Thiopental Sodium
3X7931PO74010-524	3X7931PO74	HYDROCORTISONE ACETATE	010-524	RX	Approved	N	Zoetis Inc.	Neo-Cortef® with Tetracaine	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-524	Topical	Hydrocortisone Acetate|Neomycin Sulfate|Tetracaine Hydrochloride
057Y626693010-524	057Y626693	NEOMYCIN SULFATE	010-524	RX	Approved	N	Zoetis Inc.	Neo-Cortef® with Tetracaine	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-524	Topical	Hydrocortisone Acetate|Neomycin Sulfate|Tetracaine Hydrochloride
5NF5D4OPCI010-524	5NF5D4OPCI	TETRACAINE HYDROCHLORIDE	010-524	RX	Approved	N	Zoetis Inc.	Neo-Cortef® with Tetracaine	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-524	Topical	Hydrocortisone Acetate|Neomycin Sulfate|Tetracaine Hydrochloride
95HR524N2M010-793	95HR524N2M	IRON DEXTRAN COMPLEX	010-793	OTC	Approved	N	Intervet, Inc.	Nonemic	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-793	Intramuscular	Iron Dextran Complex
T4L2P3KH7K010-809	T4L2P3KH7K	THIAMYLAL SODIUM	010-809	RX	Approved	N	Zoetis Inc.	Surital	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-809	Intravenous|Intraperitoneal	Thiamylal Sodium
3XQ2233B0B010-918	3XQ2233B0B	HYGROMYCIN B	010-918	VFD	Approved	N	Elanco US Inc.	Hygromix™ 8	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-918	Oral	Hygromycin B
GN5P7K3T8S010-987	GN5P7K3T8S	PHENYLBUTAZONE	010-987	RX	Approved	N	Intervet, Inc.	Butazolidin® Bolus	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-987	Oral	Phenylbutazone
AOX68RY4TV011-116	AOX68RY4TV	ZOALENE	011-116	OTC	Approved	N	Zoetis Inc.	Zoamix® Type A Medicated Article	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-116	Oral	Zoalene
X8XI70B5Z6006-395	X8XI70B5Z6	NITROFURAZONE	006-395	OTC	Withdrawn	N	Hess & Clark, Inc.	nfz Mix	http://www.farad.org/vetgram/ProductInfo.asp?byNada=006-395	Oral	nitrofurazone
A7002E7T2Z011-222	A7002E7T2Z	ETHYLISOBUTRAZINE HYDROCHLORIDE	011-222	RX	Approved	N	Intervet, Inc.	Diquel Tablet	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-222	Oral	Ethylisobutrazine Hydrochloride
U16EOR79U4010-782	U16EOR79U4	PROMAZINE HYDROCHLORIDE	010-782	RX	Voluntarily Withdrawn	N	Wyeth Laboratories	Sparine Injection	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/010-782	Intramuscular|Intravenous	Promazine Hydrochloride
TJS4UDS44F011-299	TJS4UDS44F	PIPERAZINE-CARBON DISULFIDE COMPLEX	011-299	RX	Approved	N	Zoetis Inc.	Parvex® Suspension	https://animaldrugsatfda.fda.gov/adafda/views/#/home/previewsearch/011-299	Nasogastric	Piperazine-carbon Disulfide Complex
