ENSID	HGNC	PMID Gene-disease	Disease OMIM ID	Disease name	PMID Disease
ENSG00000188536	HBA2	1115799	604131	"Thalassemia, alpha-"	1115799
ENSG00000206172	HBA1	909779	604131	"Thalassemias, alpha-"	909779
ENSG00000052850	ALX4	11106354	609597	Parietal foramina 2 	11106354
ENSG00000102081	FMR1	1675488	300624	Fragile X syndrome 	1675488
ENSG00000047457	CP	3574673	604290	Cerebellar ataxia 	3574673
ENSG00000047457	CP	3574673	604290	"Hemosiderosis, systemic, due to aceruloplasminemia"	3574673
ENSG00000154743	TSEN2	18711368	612389	Pontocerebellar hypoplasia type 2B	18711368
ENSG00000198734	F5	8164741	188055	Thrombophilia due to activated protein C resistance	8164741
ENSG00000166206	GABRB3	23934111	617113	"Epileptic encephalopathy, early infantile, 43"	23934111
ENSG00000101966	XIAP	17080092	300635	"Lymphoproliferative syndrome, X-linked, 2"	17080092
ENSG00000105991	HOXA1	16155570	601536	Athabaskan brainstem dysgenesis syndrome	16155570
ENSG00000105991	HOXA1	16155570	601536	"Bosley-Salih-Alorainy syndrome, "	16155570
ENSG00000161011	SQSTM1	22084127	616437	Frontotemporal dementia and/or amyotrophic lateral sclerosis 3 	22084127
ENSG00000132781	MUTYH	11818965	608456	"Adenomas, multiple colorectal"	11818965
ENSG00000108556	CHRNE	8957026	608931	"Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency"	8957026
ENSG00000163513	TGFBR2	15235604	610168	Loeys-Dietz syndrome 2	15235604
ENSG00000160877	NACC1	28132692	617393	"Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination"	28132692
ENSG00000108176	DNAJC12	28132689	617384	"Hyperphenylalaninemia, mild, non-BH4-deficient"	28132689
ENSG00000137802	MAPKBP1	28089251	617271	Nephronophthisis 20	28089251
ENSG00000138347	MYPN	28017374	617336	"Nemaline myopathy 11, autosomal recessive"	28017374
ENSG00000108001	EBF3	28017373	617330	"Hypotonia, ataxia, and delayed development syndrome"	28017373
ENSG00000146701	MDH2	27989324	617339	"Epileptic encephalopathy, early infantile, 51"	27989324
ENSG00000163848	ZNF148	27964749	617260	"Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies"	27964749
ENSG00000127152	BCL11B	27959755	617237	Immunodeficiency 49	27959755
ENSG00000156983	BRPF1	27939640	617333	Intellectual developmental disorder with dysmorphic facies and ptosis	27939640
ENSG00000147471	PLPBP	27912044	617290	"Epilepsy, early-onset, vitamin B6-dependent"	27912044
ENSG00000187098	MITF	27889061	617306	COMMAD syndrome	27889061
ENSG00000103723	AP3B2	27889060	617276	"Epileptic encephalopathy, early infantile, 48"	27889060
ENSG00000115255	REEP6	27889058	617304	Retinitis pigmentosa 77	27889058
ENSG00000159450	TCHH	27866708	617252	Uncombable hair syndrome 3	27866708
ENSG00000184014	DENND5A	27866705	617281	"Epileptic encephalopathy, early infantile, 49"	27866705
ENSG00000272333	KMT2B	27839873	617284	"Dystonia 28, childhood-onset"	27839873
ENSG00000160111	CPAMD8	27839872	617319	Anterior segement dysgenesis 8	27839872
ENSG00000116353	MECR	27817865	617282	"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities"	27817865
ENSG00000163389	POGLUT1	27807076	617232	"Muscular dystrophy, limb-girdle, type 2Z"	27807076
ENSG00000027001	MIPEP	27799064	617228	Combined oxidative phosphorylation deficiency 31 	27799064
ENSG00000114796	KLHL24	27798626	617294	"Epidermolysis bullosa simplex, generalized, with scarring and hair loss"	27798626
ENSG00000139324	TMTC3	27773428	617255	Lissencephaly 8 	27773428
ENSG00000124827	GCM2	27745835	617343	Hyperparathyroidism 4	27745835
ENSG00000121350	PYROXD1	27745833	617258	"Myopathy, myofibrillar, 8"	27745833
ENSG00000182326	C1S	27745832	617174	"Ehlers-Danlos syndrome, periodontal type, 2"	27745832
ENSG00000049759	NEDD4L	27694961	617201	Periventricular nodular heterotopia 7	27694961
ENSG00000151729	SLC25A4	27693233	617184	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD	27693233
ENSG00000141556	TBCD	27666374	617193	"Encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum"	27666374
ENSG00000154864	PIEZO2	27653382	617146	"Arthrogryposis, distal, with impaired proprioception and touch"	27653382
ENSG00000168306	ACOX2	27647924	617308	"Bile acid synthesis defect, congenital, 6"	27647924
ENSG00000197785	ATAD3A	27640307	617183	Harel-Yoon syndrome 	27640307
ENSG00000167098	SUN5	27640305	617187	Spermatogenic failure 16	27640305
ENSG00000105464	GRIN2D	27616483	617162	"Epileptic encephalopathy, early infantile, 46"	27616483
ENSG00000186417	GLDN	27616481	617194	Lethal congenital contracture syndrome 11	27616481
ENSG00000148019	CEP78	27588451	617236	Cone-rod dystrophy and hearing loss 	27588451
ENSG00000196549	MME	27583304	617018	Spinocerebellar ataxia 43	27583304
ENSG00000115665	SLC5A7	27569547	617143	"Myasthenic syndrome, congenital"	27569547
ENSG00000161011	SQSTM1	27545679	617145	"Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset"	27545679
ENSG00000276747	PADI6	27545678	617234	Preimplantation embryonic lethality 2	27545678
ENSG00000126945	HNRPH2	27545675	300986	"Mental retardation, X-linked, syndromic, Bain type"	27545675
ENSG00000081307	UBA5	27545674	617132	"Epileptic encephalopathy, early infantile, 44"	27545674
ENSG00000154124	OTULIN	27523608	617099	"Autoinflammation, panniculitis, and dermatosis syndrome"	27523608
ENSG00000069966	GNB5	27523599	617173	Intellectual developmental disorder with cardiac arrhythmia	27523599
ENSG00000138777	PPA2	27523598	617222	"Sudden cardiac failure, infantile"	27523598
ENSG00000138777	PPA2	27523597	617223	"Sudden cardiac failure, alcohol-induced"	27523597
ENSG00000136758	YME1L1	27495975	617302	Optic atrophy 11	27495975
ENSG00000187726	DNAJB13	27486783	617091	"Ciliary dyskinesia, primary, 34"	27486783
ENSG00000136144	RCBTB1	27486781	617175	Retinal dystrophy with or without extraocular anomalies	27486781
ENSG00000204815	TTC25	27486780	617092	"Ciliary dyskinesia, primary, 35"	27486780
ENSG00000065883	CDK13	27479907	617360	"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder "	27479907
ENSG00000111642	CHD4	27479907	617159	Sifrim-Hitz-Weiss syndrome	27479907
ENSG00000184304	PRKD1	27479907	617364	Congenital heart defects and ectodermal dysplasia	27479907
